"","x"
"1",0.157667062
"2",0.238647763
"3",0.421351306
"4",0.11795617
"5",0.195488841
"6",0.303644702
"7",0.144786782
"8",0.281120672
"9",0.1395671
"10",0.324895992
"11",0.327738307
"12",0.381855357
"13",0.340780864
"14",0.13135009
"15",0.473000531
"16",0.348318669
"17",0.401511561
"18",0.875312832
"19",0.664332391
"20",0.542425029
"21",0.408836945
"22",0.030456051
"23",0.204758698
"24",0.589620971
"25",0.301806121
"26",0.408383196
"27",0.164575191
"28",0.45111921
"29",0.46648424
"30",0.331676948
"31",0.667536074
"32",0.593071917
"33",0.336948729
"34",0.549391326
"35",0.280790638
"36",0.609881027
"37",0.500999481
"38",0.2965369
"39",1.214428309
"40",0.607595559
"41",0.324610186
"42",0.751098237
"43",0.403355449
"44",0.776001682
"45",0.333906664
"46",0.173357905
"47",0.392398176
"48",0.809695822
"49",0.576094758
"50",0.714127096
"51",0.597590594
"52",0.500813605
"53",0.604687693
"54",0.698499558
"55",0.505973659
"56",0.5024784
"57",0.741402571
"58",0.41177596
"59",0.746638564
"60",0.402434818
"61",0.499701511
"62",0.320584227
"63",0.513435402
"64",0.322317261
"65",0.856567102
"66",0.423984812
"67",0.966756564
"68",0.652356579
"69",0.501738831
"70",0.312378547
"71",0.532936624
"72",0.491277693
"73",0.149203952
"74",0.687793709
"75",0.364201655
"76",0.679107896
"77",0.568964868
"78",0.396864309
"79",0.245921877
"80",0.285052937
"81",0.495226581
"82",0.458259927
"83",0.534327669
"84",0.657596197
"85",0.356738362
"86",0.574965574
"87",0.535194451
"88",0.555769169
"89",0.553931026
"90",0.622823793
"91",0.448024584
"92",0.639576301
"93",1.166111899
"94",0.435425356
"95",0.577058942
"96",0.394755316
"97",0.92075987
"98",0.338596825
"99",0.423984828
"100",1.025242361
"101",0.448852013
"102",0.720077028
"103",0.931974279
"104",0.672381269
"105",0.580744418
"106",0.174425274
"107",0.375733617
"108",1.096924221
"109",0.517931719
"110",1.169209718
"111",0.598366042
"112",1.287609527
"113",1.306488863
"114",2.130572034
"115",0.718272179
"116",1.968034294
"117",1.86484412
"118",1.710425266
"119",1.237654393
"120",0.961368461
"121",1.25077475
"122",2.597382448
"123",1.425003747
"124",0.992417521
"125",0.707996404
"126",0.582498818
"127",0.296535463
"128",0.331677141
"129",0.76444026
"130",0.712697164
"131",0.511443042
"132",0.534327162
"133",0.251884391
"134",0.057786251
"135",0.227095832
"136",0.033363153
"137",0.356478557
"138",0.03045614
"139",0.508715856
"140",0.258428245
"141",0.798621937
"142",0.437762202
"143",0.633163245
"144",0.393106682
"145",0.244028556
"146",0.345108509
"147",0.0408611
"148",0.441139203
"149",0.622674888
"150",0.501739634
"151",0.541740112
"152",0.607443197
"153",0.19358144
"154",0.61291616
"155",0.848515986
"156",0.342680522
"157",0.345913959
"158",0.34537721
"159",0.233142677
"160",0.43797438
"161",0.820166798
"162",0.884903409
"163",0.329713348
"164",0.294967899
"165",0.444490895
"166",0.606984834
"167",0.706947778
"168",0.813808769
"169",0.892522683
"170",0.365979378
"171",0.53727061
"172",0.200640111
"173",0.876265957
"174",0.56174641
"175",0.36825353
"176",0.527337747
"177",0.431358529
"178",0.612309932
"179",0.659708283
"180",0.726105986
"181",0.684549333
"182",0.940001389
"183",0.447610291
"184",0.531542725
"185",0.448645189
"186",0.701679241
"187",1.204534895
"188",0.110652
"189",0.241353008
"190",0.218775048
"191",0.324038079
"192",0.468072337
"193",0.294338265
"194",1.09852989
"195",0.659568499
"196",0.9020333
"197",0.482321794
"198",0.142200782
"199",0.208351338
"200",0.305168757
"201",0.05615804
"202",0.062416379
"203",0.138901351
"204",0.267944359
"205",0.082849297
"206",0.215787141
"207",0.112316114
"208",0.043071392
"209",0.073347523
"210",0.056158736
