"","x"
"1",0.057786251
"2",0.019261164
"3",0.040861333
"4",0.038523743
"5",0.056158227
"6",0.082849264
"7",0.062415816
"8",0.0136203
"9",0.03045538
"10",0.08721277
"11",0.060912102
"12",0.056157766
"13",0.033363153
"14",0.030456274
"15",0.03045538
"16",0.033362336
"17",0.169571625
"18",0.112316502
"19",0.043071487
"20",0.129929643
"21",0.112315895
"22",0.081722433
"23",0.109810258
"24",0.057786369
"25",0.079419537
"26",0.045173485
"27",0.062415772
"28",0.12408731
"29",0.06810142
"30",0.078242318
"31",0.023590994
"32",0.03045614
"33",0.05096279
"34",0.049108052
"35",0.043071234
"36",0.049108884
"37",0.043071329
"38",0.070773116
"39",0.056157911
"40",0.062415117
"41",0.078242788
"42",0.030455425
"43",0.019262154
"44",0.040860667
"45",0.01926173
"46",0.057785379
"47",0.033361969
"48",0.030456409
"49",0.019262084
"50",0.0408606
"51",0.056156796
"52",0.090347271
"53",0.060912281
"54",0.073347449
"55",0.049108357
"56",0.033361969
"57",0.090346729
"58",0.056157596
"59",0.04307136
"60",0.080579204
"61",0.0136203
"62",0.049108912
"63",0.139567178
"64",0.104620225
"65",0.045173545
"66",0.100088492
"67",0.062416034
"68",0.030455872
"69",0.056157814
"70",0.050962362
"71",0.019262579
"72",0.030456051
"73",0.045173545
"74",0.056158372
"75",0.033362418
"76",0.030455335
"77",0.0272407
"78",0.056157645
"79",0.049109078
"80",0.063884337
"81",0.074601437
"82",0.045173545
"83",0.050962603
"84",0.033362418
"85",0.030456274
"86",0.049108052
"87",0.066725489
"88",0.030455425
"89",0.07824298
"90",0.087212785
"91",0.124087157
"92",0.062416274
"93",0.043070348
"94",0.023590359
"95",0.0408606
"96",0.01926173
"97",0.023590878
"98",0.040860933
"99",0.033362867
"100",0.05615796
"101",0.09034691
"102",0.049108884
"103",0.086142594
"104",0.0272406
"105",0.083961265
"106",0.023591571
"107",0.050962416
"108",0.045173606
"109",0.062416383
"110",0.062416296
"111",0.030456319
"112",0.03045623
"113",0.040861
"114",0.019262154
"115",0.08721291
"116",0.091368242
"117",0.060910849
"118",0.077047416
"119",0.082849577
"120",0.0136205
"121",0.066724672
"122",0.040861333
"123",0.088270003
"124",0.096310744
"125",0.019261942
"126",0.033362989
"127",0.069450274
"128",0.0408611
"129",0.040860467
"130",0.043071265
"131",0.062416056
"132",0.056157863
"133",0.030456096
"134",0.05778618
"135",0.019261164
"136",0.023590301
"137",0.038523602
"138",0.0136202
"139",0.04910844
"140",0.063885104
